Título;Gênero;Rótulos de Gênero;Pré-estreia;Temporadas;Temporadas Analisadas;Episódios Analisados;Duração;Duração Mínima;Duração Máxima;Status;Ativo;Tabela;Linguagem;Data de Inclusão;Data de Alteração
Sunderland 'Til I Die;sport;sport;2018-12-14;1 season, 8 episodes;1;8;37–46 min.;37;46;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Larry Charles: The Dangerous World of Comedy;docu-series;docu-series;2019-02-15;1 season, 4 episodes;1;4;51–66 min.;51;66;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Stay Here;reality;reality;2018-08-17;1 season, 8 episodes;1;8;31–33 min.;31;33;Pending;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Insatiable;dark comedy-drama;dark,comedy-drama;2018-08-10;1 season, 12 episodes;1;12;40–53 min.;40;53;Renewed;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Home: Adventures with Tip & Oh;childrens-animation;childrens-animation;2016-07-29;4 seasons, 52 episodes;4;52;22–24 min.;22;24;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Luna Petunia: Return to Amazia;childrens-animation;childrens-animation;2018-02-02;2 seasons, 11 episodes;2;11;24 min.;24;24;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Carmen Sandiego;childrens-animation;childrens-animation;2019-01-18;1 season, 9 episodes;1;9;23–33 min.;23;33;Renewed;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Most Beautiful Thing;period drama;period,drama;2019-03-22;1 season, 7 episodes;1;7;35–56 min.;35;56;Renewed;1;ForeignLanguage;Portuguese;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Chelsea Does;comedy;comedy;2016-01-23;1 season, 4 episodes;1;4;62–74 min.;62;74;Ended;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Ask the StoryBots;childrens-animation;childrens-animation;2016-08-12;2 seasons, 14 episodes;2;14;20–28 min.;20;28;Renewed;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Richie Rich;sitcom;sitcom;2015-02-20;2 seasons, 21 episodes;2;21;21–23 min.;21;23;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Jessica Jones;neo-noir/psychological thriller;neo-noir,psychological,thriller;2015-11-20;3 seasons, 39 episodes;3;39;44–56 min.;44;56;Ended;0;Marvel;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Paradise PD;comedy;comedy;2018-08-31;1 season, 10 episodes;1;10;27–30 min.;27;30;Renewed;1;Animation;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Spy Kids: Mission Critical;childrens-animation;childrens-animation;2018-04-20;2 seasons, 20 episodes;2;20;23–25 min.;23;23;Pending;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Break with Michelle Wolf;late-night;late-night;2018-05-27;1 season, 10 episodes;1;10;27 min.;27;27;Renewed;1;VarietyTalk;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Love Alarm;romantic comedy;romantic,comedy;2019-08-22;a ser anunciado;0;0;TBA;0;0;Pending;1;ForeignLanguage;Korean;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Voltron: Legendary Defender;childrens-animation;childrens-animation;2016-06-10;8 seasons, 78 episodes;8;78;23–68 min.;23;68;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Day I Met El Chapo;biography;biography;2017-10-20;1 season, 3 episodes;1;3;48–61 min.;48;61;Ended;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Society;mystery drama;mystery,drama;2019-05-10;1 season, 10 episodes;1;10;49–61 min.;49;61;Pending;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Kominsky Method;comedy;comedy;2018-11-16;1 season, 8 episodes;1;8;23–34 min.;23;34;Renewed;1;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Cupcake & Dino: General Services;childrens-animation;childrens-animation;2018-07-27;2 seasons, 26 episodes;2;26;22–23 min.;22;23;Pending;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Trinkets;coming-of-age drama;coming-of-age,drama;2019-06-14;1 season, 10 episodes;1;10;22–29 min.;22;29;Pending;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Death by Magic;reality;reality;2018-11-30;1 season, 8 episodes;1;8;31–39 min.;31;39;Pending;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Ingobernable;political drama;political,drama;2017-03-24;2 seasons, 27 episodes;2;27;32–50 min.;32;50;Pending;1;ForeignLanguage;Spanish;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Persona;drama anthology series;drama,anthology,series;2019-04-11;1 season, 4 episodes;1;4;19–27 min.;19;27;Ended;0;ForeignLanguage;Korean;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Legend Quest;childrens-animation;childrens-animation;2017-02-24;1 season, 13 episodes;1;13;22 min.;22;22;Renewed;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Confession Tapes;true crime;true,crime;2017-09-08;2 seasons, 11 episodes;2;11;41–54 min.;41;54;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Go! Live Your Way;musical;musical;2019-02-22;2 seasons, 30 episodes;2;30;36–44 min.;36;44;Pending;1;ForeignLanguage;Spanish;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Bobby Kennedy for President;history;history;2018-04-27;4 chapters;0;0;59–66 min.;59;66;Miniseries;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Boca Juniors Confidential;docu-series;docu-series;2018-09-14;1 season, 4 episodes;1;4;40–44 min.;40;44;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Kengan Ashura;action;action;2019-07-31;a ser anunciado;0;0;TBA;0;0;Pending;1;Anime;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
High Seas;mystery period drama;mystery,period,drama;2019-05-24;1 season, 8 episodes;1;8;39–49 min.;39;49;Renewed;1;ForeignLanguage;Spanish;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
True and the Rainbow Kingdom;childrens-animation;childrens-animation;2017-08-11;2 seasons, 14 episodes;2;14;24 min.;24;24;Renewed;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Super Monsters Monster Pets;childrens-animation;childrens-animation;2019-06-07;1 season, 5 episodes;1;5;9–12 min.;9;12;Pending;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Club de Cuervos Presents: The Ballad of Hugo Sánchez;comedy;comedy;2018-06-17;1 season, 6 episodes;1;6;29–37 min.;29;37;Ended;0;ForeignLanguage;Spanish;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Delhi Crime;police procedural;police,procedural;2019-03-22;1 season, 7 episodes;1;7;45–64 min.;45;64;Pending;1;ForeignLanguage;Hindi;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
3Below: Tales of Arcadia;childrens-animation;childrens-animation;2018-12-21;1 part, 13 episodes;0;13;23–24 min.;23;24;Renewed;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Chasing Cameron;celebrity;celebrity;2016-12-27;1 season, 10 episodes;1;10;26–33 min.;26;33;Ended;0;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Mindhunter;crime drama;crime,drama;2017-10-13;1 season, 10 episodes;1;10;34–60 min.;34;60;Renewed;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Sense8;science fiction;science-fiction;2015-06-05;2 seasons, 24 episodes;2;24;45–152 min.;45;152;Ended;0;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
